pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
5000,5000,19,87,0.6436781609195402,0.7241379310344828,0.7701149425287356,0.8505747126436781,0.4747400109469075,0.5540503557744937,0.6455391351943076,0.7002463054187192,0.5820621226773146,87
10000,10000,0,87,0.5402298850574713,0.6781609195402298,0.7241379310344828,0.7931034482758621,0.4402572523262178,0.5013683634373289,0.5875752599890531,0.6249680715197956,0.5198199363033309,87
10000,10000,1,87,0.5517241379310345,0.6666666666666666,0.7126436781609196,0.7931034482758621,0.4214833059660646,0.48470169677066227,0.5722495894909688,0.6251961320926838,0.5121584828970186,87
10000,10000,2,87,0.4827586206896552,0.6896551724137931,0.7126436781609196,0.7816091954022989,0.44638752052545155,0.48565955117679255,0.5748494800218938,0.5893814997263274,0.4949842309758212,87
10000,10000,3,87,0.5057471264367817,0.6666666666666666,0.7011494252873564,0.7931034482758621,0.4176518883415435,0.47033388067870824,0.5870005473453749,0.5945995256340084,0.5058930204069363,87
10000,10000,4,87,0.5747126436781609,0.6896551724137931,0.7011494252873564,0.8045977011494253,0.43738368910782705,0.46611932129173506,0.5904488232074439,0.640891260718847,0.5236378280908238,87
10000,10000,5,87,0.4942528735632184,0.6896551724137931,0.7011494252873564,0.7816091954022989,0.4322112753147236,0.47090859332238644,0.5645867542419266,0.5992793285896734,0.49641173868211974,87
10000,10000,6,87,0.5862068965517241,0.6896551724137931,0.7241379310344828,0.8045977011494253,0.4402572523262178,0.4923645320197044,0.5876847290640395,0.6494572158365262,0.5258608714773403,87
10000,10000,7,87,0.5287356321839081,0.6436781609195402,0.7126436781609196,0.7816091954022989,0.415736179529283,0.4760810071154899,0.5761904761904761,0.6075670498084291,0.5034377616722717,87
10000,10000,8,87,0.5172413793103449,0.6551724137931034,0.7011494252873564,0.8160919540229885,0.40385878489326765,0.46209633278598794,0.594280240831965,0.6033661740558293,0.5026024354864628,87
